run_id,electricity_demand_multiplier_tx,natural_gas_price_west_south_central,battery_capcost,battery_capcost_energy,coal_igcc_capcost,coal_igcc_fom,coal_igcc_vom,coal_new_capcost,coal_new_fom,coal_new_vom,coal_ccs_capcost,coal_ccs_fom,coal_ccs_vom,coal_ccs_heatrate,csp_capcost,csp_fom,csp_vom,gas_cc_capcost,gas_cc_fom,gas_cc_vom,gas_cc_heatrate,gas_ccs_capcost,gas_ccs_fom,gas_ccs_vom,gas_ccs_heatrate,nuclear_capcost,nuclear_fom,nuclear_vom,cf_mult_shared_offshore_wind_fixed_and_floating,offshore_wind_fixed_overnight_cap_cost,offshore_wind_fixed_fixed_oandm,offshore_wind_floating_overnight_cap_cost,offshore_wind_floating_fixed_oandm,onshore_wind_cf_mult,onshore_wind_overnight_cap_cost_kw,onshore_wind_fixed_oandm_kw_yr,upv_capcost,upv_fom,upv_cf_improvement,trajectory,step,changed_factor
37,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,0.9724,1.00588,1.0058399999999998,1.0139,1.00336,1.01962,1.028,1.0427199999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,1.0522,1.0327,1.00544,1.07518,1.0285,1.02296,1.009,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,1.00308,0,37,coal_ccs_vom
38,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,1.00588,1.00588,1.0058399999999998,1.0139,1.00336,1.01962,1.028,1.0427199999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,1.0522,1.0327,1.00544,1.07518,1.0285,1.02296,1.009,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,1.00308,0,38,coal_igcc_fom
39,1.00854,1.7787,0.97888,1.1687400000000001,1.0297,1.00588,1.00588,1.0058399999999998,1.0139,1.00336,1.01962,1.028,1.0427199999999999,1.059,1.3946200000000002,1.13548,1.286,1.0277,1.0522,1.0327,1.00544,1.07518,1.0285,1.02296,1.009,1.4511,1.1657,1.0000200000000001,1.0348,1.3223,1.0466000000000002,1.3229600000000001,1.0768199999999999,1.0634,1.1495,0.97384,1.1781,1.1332,1.00308,0,39,onshore_wind_cf_mult
40,0.97478,0.8940600000000001,0.6590199999999999,1.04996,0.9709,0.99472,0.98356,0.98448,0.9863,0.9853,0.99346,0.9721,0.9572799999999999,0.9402,0.7963,0.9257599999999999,0.9731,0.9945200000000001,0.99088,0.9937,0.9731,0.8747,0.9143,0.9772400000000001,0.955,0.7574,0.89828,0.6786,0.9986,0.7848,0.9212,0.6924,0.99546,0.9972199999999999,0.98062,0.8724799999999999,1.0062,0.9031,0.98172,1,0,
41,0.97478,0.8940600000000001,0.6590199999999999,1.04996,0.9709,0.99472,0.98356,0.98448,0.9863,0.9853,0.99346,0.9721,0.9572799999999999,0.9402,0.7963,0.9257599999999999,0.9731,0.9945200000000001,0.99088,0.9937,0.9731,0.8747,0.9143,0.9772400000000001,0.955,0.7574,0.89828,0.6786,0.9986,0.7848,0.9212,0.6924,1.1175,0.9972199999999999,0.98062,0.8724799999999999,1.0062,0.9031,0.98172,1,1,offshore_wind_floating_fixed_oandm
42,0.97478,0.8940600000000001,0.6590199999999999,1.04996,0.9709,0.99472,0.98356,0.98448,0.9863,0.9853,0.99346,0.9721,0.9572799999999999,0.9402,0.7963,0.9257599999999999,0.9731,0.9945200000000001,0.99088,0.9937,0.9731,0.8747,0.9143,0.9772400000000001,0.955,0.7574,0.89828,1.0000200000000001,0.9986,0.7848,0.9212,0.6924,1.1175,0.9972199999999999,0.98062,0.8724799999999999,1.0062,0.9031,0.98172,1,2,nuclear_vom
43,0.97478,0.8940600000000001,0.6590199999999999,1.04996,0.9709,0.99472,0.98356,0.98448,0.9863,0.9853,0.99346,0.9721,0.9572799999999999,0.9402,0.7963,0.9257599999999999,0.9731,0.9945200000000001,0.99088,0.9937,0.9731,0.8747,0.9143,0.9772400000000001,0.955,0.7574,0.89828,1.0000200000000001,0.9986,0.7848,0.9212,0.6924,1.1175,1.0634,0.98062,0.8724799999999999,1.0062,0.9031,0.98172,1,3,onshore_wind_cf_mult
44,0.97478,0.8940600000000001,0.6590199999999999,1.04996,0.9709,0.99472,0.98356,0.98448,0.9863,0.9853,0.99346,0.9721,1.0427199999999999,0.9402,0.7963,0.9257599999999999,0.9731,0.9945200000000001,0.99088,0.9937,0.9731,0.8747,0.9143,0.9772400000000001,0.955,0.7574,0.89828,1.0000200000000001,0.9986,0.7848,0.9212,0.6924,1.1175,1.0634,0.98062,0.8724799999999999,1.0062,0.9031,0.98172,1,4,coal_ccs_vom
45,0.97478,0.8940600000000001,0.6590199999999999,1.04996,0.9709,0.99472,0.98356,0.98448,0.9863,0.9853,0.99346,0.9721,1.0427199999999999,0.9402,0.7963,0.9257599999999999,0.9731,0.9945200000000001,1.0522,0.9937,0.9731,0.8747,0.9143,0.9772400000000001,0.955,0.7574,0.89828,1.0000200000000001,0.9986,0.7848,0.9212,0.6924,1.1175,1.0634,0.98062,0.8724799999999999,1.0062,0.9031,0.98172,1,5,gas_cc_fom
46,0.97478,0.8940600000000001,0.6590199999999999,1.04996,0.9709,0.99472,0.98356,0.98448,0.9863,0.9853,0.99346,0.9721,1.0427199999999999,0.9402,0.7963,0.9257599999999999,0.9731,0.9945200000000001,1.0522,0.9937,0.9731,0.8747,0.9143,0.9772400000000001,0.955,0.7574,0.89828,1.0000200000000001,0.9986,0.7848,0.9212,0.6924,1.1175,1.0634,0.98062,1.0245199999999999,1.0062,0.9031,0.98172,1,6,onshore_wind_fixed_oandm_kw_yr
